hidden_size,num_layers,learning_rate,batch_size,dropout_rate,gpath,tangles,niareagansc
16,1,0.005,8,0.4,0.21442573747102217,0.3087960295284823,0.20639374047958156
16,1,0.005,8,0.5,0.21442573747102217,0.3087960295284823,0.20639374047958156
16,1,0.005,8,0.6,0.21442573747102217,0.3087960295284823,0.20639374047958156
16,1,0.005,16,0.2,0.20019512590369723,0.2883607511105642,0.19177457858449745
16,1,0.005,16,0.4,0.20019512590369723,0.2883607511105642,0.19177457858449745
16,1,0.005,16,0.5,0.20019512590369723,0.2883607511105642,0.19177457858449745
16,1,0.005,16,0.6,0.20019512590369723,0.2883607511105642,0.19177457858449745
16,1,0.005,32,0.2,0.19077288697130793,0.29279893045390076,0.18487650915128967
16,1,0.005,32,0.4,0.19077288697130793,0.29279893045390076,0.18487650915128967
16,1,0.005,32,0.5,0.19077288697130793,0.29279893045390076,0.18487650915128967
16,1,0.005,32,0.6,0.19077288697130793,0.29279893045390076,0.18487650915128967
16,1,0.01,8,0.2,0.21589716764357073,0.31560513109567934,0.19961380484443994
16,1,0.01,8,0.4,0.21589716764357073,0.31560513109567934,0.19961380484443994
16,1,0.01,8,0.5,0.21589716764357073,0.31560513109567934,0.19961380484443994
16,1,0.01,8,0.6,0.21589716764357073,0.31560513109567934,0.19961380484443994
16,1,0.01,16,0.2,0.18471516206007693,0.2967373543221373,0.19584720734082783
16,1,0.01,16,0.4,0.18471516206007693,0.2967373543221373,0.19584720734082783
16,1,0.01,16,0.5,0.18471516206007693,0.2967373543221373,0.19584720734082783
16,1,0.01,16,0.6,0.18471516206007693,0.2967373543221373,0.19584720734082783
16,1,0.01,32,0.2,0.18791377012965768,0.2871295581634124,0.17796263555975084
16,1,0.01,32,0.4,0.18791377012965768,0.2871295581634124,0.17796263555975084
16,1,0.01,32,0.5,0.18791377012965768,0.2871295581634124,0.17796263555975084
16,1,0.01,32,0.6,0.18791377012965768,0.2871295581634124,0.17796263555975084
16,2,0.001,8,0.2,0.22412546039795248,0.3000617709740319,0.21984833073935697
16,2,0.001,8,0.4,0.1946515453502853,0.28354448692179013,0.21075154274038663
16,2,0.001,8,0.5,0.20004171679989824,0.2852986678175061,0.20292463911036523
16,2,0.001,8,0.6,0.19558360149520934,0.2712332115689034,0.1975652925893259
16,2,0.001,16,0.2,0.18638715241291087,0.27006259169490887,0.19807947090989647
16,2,0.001,16,0.4,0.2043456141269966,0.29871310287136366,0.19483972297002844
16,2,0.001,16,0.5,0.17914654069972186,0.27670059879609726,0.18695195847447532
16,2,0.001,16,0.6,0.1917509010777672,0.27779959806576465,0.19345128782921445
16,2,0.001,32,0.2,0.19993935862442275,0.28869665702469993,0.19475395619452857
16,2,0.001,32,0.4,0.1861443310294226,0.2824638236557443,0.1901441421348614
16,2,0.001,32,0.5,0.18471169506782897,0.27884290805035666,0.18701235593164708
16,2,0.001,32,0.6,0.19142447371429416,0.27959499371038643,0.18784777412724557
16,2,0.005,8,0.2,0.21749331361689878,0.29415764023005736,0.21912467291161147
16,2,0.005,8,0.4,0.2177714617183762,0.2906786974365486,0.20685023029397237
